YFIONE,https://coinmarketcap.com/currencies/yfione/,20063
Agave,https://coinmarketcap.com/currencies/agave/,19889
Wrapped Gen-0 CryptoKitties,https://coinmarketcap.com/currencies/wrapped-gen-0-cryptokitties/,19475
Banana.finance,https://coinmarketcap.com/currencies/banana-finance/,19225
Kusama,https://coinmarketcap.com/currencies/kusama/,19121
Bitfinex Bitcoin Dominance Perps,https://coinmarketcap.com/currencies/bitfinex-bitcoin-dominance-perps/,18960
Reflexer Ungovernance Token,https://coinmarketcap.com/currencies/reflexer-ungovernance-token/,18277
Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,18052
DiFy.Finance,https://coinmarketcap.com/currencies/dify-finance/,17884
COVER Protocol,https://coinmarketcap.com/currencies/cover-protocol-new/,17830
GameStop tokenized stock FTX,https://coinmarketcap.com/currencies/gamestop-tokenized-stock-ftx/,17407
Sora,https://coinmarketcap.com/currencies/sora/,17184
Gas Token Two,https://coinmarketcap.com/currencies/gas-token-two/,16742
Million,https://coinmarketcap.com/currencies/million/,16214
1x Short Bitcoin Token,https://coinmarketcap.com/currencies/1x-short-bitcoin-token/,16207
Inverse Finance,https://coinmarketcap.com/currencies/inverse-finance/,16114
EFT.finance,https://coinmarketcap.com/currencies/eft-finance/,15996
Total Crypto Market Cap Token,https://coinmarketcap.com/currencies/total-crypto-market-cap-token/,15959
Cream Finance,https://coinmarketcap.com/currencies/cream-finance/,15825
Wolves of Wall Street,https://coinmarketcap.com/currencies/wolves-of-wall-street/,15129
Cyclops Treasure,https://coinmarketcap.com/currencies/cyclops-treasure/,15122
BoringDAO,https://coinmarketcap.com/currencies/boringdao/,15088
Apple tokenized stock FTX,https://coinmarketcap.com/currencies/apple-tokenized-stock-ftx/,14890
Planet Finance,https://coinmarketcap.com/currencies/planet-finance/,14826
Mirrored Apple,https://coinmarketcap.com/currencies/mirrored-apple/,14796
Apple tokenized stock Bittrex,https://coinmarketcap.com/currencies/apple-tokenized-stock-bittrex/,14673
Unlock Protocol,https://coinmarketcap.com/currencies/unlock-protocol/,14586
DEUS Finance DEA,https://coinmarketcap.com/currencies/deus-finance-dea/,14555
DiamondToken,https://coinmarketcap.com/currencies/diamondtoken/,14360
Airbnb tokenized stock FTX,https://coinmarketcap.com/currencies/airbnb-tokenized-stock-ftx/,14076
TOM Finance,https://coinmarketcap.com/currencies/tom-finance/,14057
